int32	int32	int32	int32	float	float	float	int32	bool	string	string[]
group	scene	camp	actorID	x	y	dir	level	passive	aiLogic	aiParams
//id=scene*10+camp		阵营	要出的敌人	出生坐标	出生坐标	方向	等级	非主动攻击怪	ai逻辑	ai参数
//		1--全友好 2--全敌对 3--blue 4--red								
1011	101	1	2	40.2	19.9	0	1	0		
1011	101	1	2	73.16	16.68	0	1	0		
1011	101	1	2	95.55	22.51	0	1	0		
1011	101	1	2	106.83	47.58	0	1	0		
1011	101	1	2	104.1	88.1	0	1	0		
1011	101	1	2	82.8	107.2	0	1	0		
1011	101	1	2	40.7	105.6	0	1	0		
1011	101	1	2	31	67.2	0	1	0		
1011	101	1	2	46.5	36.1	0	1	0		
1011	101	1	2	81.8	39.7	0	1	0		
1011	101	1	2	87.3	69	0	1	0		
1011	101	1	2	81.1	84.2	0	1	0		
1011	101	1	2	56.5	90.2	0	1	0		
1011	101	1	2	50.17	75.92	0	1	0		
1011	101	1	2	60.6	49.8	0	1	0		
1011	101	1	2	65.6	73.3	0	1	0		
1021	102	1	7	43.6	56.4	0	1	0		
1021	102	1	7	137.8	149	0	1	0		
1021	102	1	7	373.5	354.7	0	1	0		
1021	102	1	7	223.8	248.2	0	1	0		
1021	102	1	7	366.3	147.1	0	1	0		
1021	102	1	7	137.5	357.8	0	1	0		
1021	102	1	7	468.4	223.4	0	1	0		
1021	102	1	7	316.4	471.2	0	1	0		
1021	102	1	7	41.4	261.3	0	1	0		
1021	102	1	7	277.7	54.6	0	1	0		
1021	102	1	7	455.4	90	0	1	0		
1021	102	1	7	395.1	62.4	0	1	0		
